RP11-34P13.7
AL627309.1
AP006222.2
RP4-669L17.10
RP11-206L10.3
RP11-206L10.2
RP11-206L10.9
FAM87B
LINC00115
FAM41C
RP11-54O7.1
SAMD11
NOC2L
KLHL17
PLEKHN1
RP11-54O7.17
HES4
ISG15
AGRN
RNF223
C1orf159
RP11-465B22.8
TTLL10
TNFRSF18
TNFRSF4
SDF4
B3GALT6
FAM132A
RP5-902P8.12
UBE2J2
SCNN1D
ACAP3
PUSL1
CPSF3L
GLTPD1
DVL1
MXRA8
AURKAIP1
CCNL2
RP4-758J18.2
MRPL20
RP4-758J18.13
ANKRD65
VWA1
ATAD3C
ATAD3B
ATAD3A
SSU72
AL645728.1
C1orf233
RP11-345P4.9
MIB2
MMP23B
CDK11B
RP11-345P4.10
SLC35E2B
CDK11A
SLC35E2
NADK
GNB1
TMEM52
C1orf222
GABRD
RP11-547D24.3
PRKCZ
RP5-892K4.1
RP11-181G12.2
C1orf86
AL590822.2
AL590822.1
RP11-181G12.4
SKI
MORN1
RER1
PEX10
PLCH2
PANK4
HES5
RP3-395M20.12
TNFRSF14
FAM213B
MMEL1
TTC34
ARHGEF16
RP11-168F9.2
MEGF6
TPRG1L
WRAP73
TP73
TP73-AS1
SMIM1
LRRC47
CEP104
DFFB
C1orf174
LINC01134
AJAP1
NPHP4
KCNAB2
RPL22
RNF207
ICMT
LINC00337
GPR153
ACOT7
RP1-202O8.3
HES2
ESPN
TNFRSF25
PLEKHG5
NOL9
ZBTB48
KLHL21
PHF13
THAP3
DNAJC11
RP11-312B8.1
CAMTA1
VAMP3
PER3
PARK7
ERRFI1
RERE
ENO1
ENO1-AS1
SLC2A5
GPR157
RP3-510D11.1
RP3-510D11.2
H6PD
SPSB1
SLC25A33
TMEM201
PIK3CD
RP11-558F24.4
CLSTN1
CTNNBIP1
LZIC
NMNAT1
RBP7
UBE4B
KIF1B
PGD
APITD1
APITD1-CORT
CORT
DFFA
PEX14
CASZ1
TARDBP
RP4-635E18.8
SRM
EXOSC10
RP4-635E18.7
RP4-635E18.6
MTOR
